left,right,correlation,abs_correlation
Sleep_Duration_Hours,Working_Hours_Per_Day,0.02528472415244291,0.02528472415244291
Weekend_Sleep_Difference_Hours,Focus_Concentration_Score,0.025093078759792626,0.025093078759792626
Fruit_Intake_Per_Day,Life_Satisfaction_Score,-0.025043948040160625,0.025043948040160625
Systolic_BP,Focus_Concentration_Score,-0.025040336674772644,0.025040336674772644
Breakfast_Regularity_Score,Mood_Score,0.024213554209746378,0.024213554209746378
Age,Water_Intake_Liters,0.023191446217823073,0.023191446217823073
Weight_kg,Daily_Steps,0.023113641832555775,0.023113641832555775
Sugary_Drinks_Per_Week,Outdoor_Time_Hours,-0.022580375926937478,0.022580375926937478
BMI,Breakfast_Regularity_Score,-0.022329174814091784,0.022329174814091784
BMI,Number_of_Night_Awakenings,-0.02232375318887262,0.02232375318887262
Vegetable_Intake_Per_Day,Sugary_Drinks_Per_Week,-0.0221520485427393,0.0221520485427393
Weight_kg,Exercise_Frequency_Per_Week,0.021646181554729554,0.021646181554729554
