contract,fold,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,fit_seconds
competition,1,elastic_a0p001_l1_0p1,0.001,0.1,62,64,111,0.62486942558319,0.6092288022850298,0.5968858948303232,0.5492973948229779,0.6997020495163256,0.11339340000267839
competition,1,elastic_a0p001_l1_0p3,0.001,0.3,62,64,111,0.6255780888143077,0.6099670123870214,0.5976474220524717,0.5485960330974087,0.6990408297292802,0.05530999999973574
competition,1,elastic_a0p001_l1_0p5,0.001,0.5,62,64,111,0.62610276674253,0.6105135661376582,0.5982112392616299,0.5480733638929952,0.6985508745975072,0.026102700001501944
competition,1,elastic_a0p001_l1_0p7,0.001,0.7,62,64,111,0.626571593613767,0.6110019401878916,0.5987150391051166,0.5476316497857167,0.6981127834343952,0.020060800001374446
competition,1,elastic_a0p001_l1_0p9,0.001,0.9,62,64,111,0.626846926842278,0.6112887531080147,0.5990109113043028,0.547411261710901,0.6978553725268924,0.01760880000074394
competition,1,elastic_a0p003_l1_0p1,0.003,0.1,62,64,111,0.6260437771800451,0.6104521170754997,0.5981478492680726,0.5482808876782422,0.698605977419378,0.04009360000054585
competition,1,elastic_a0p003_l1_0p3,0.003,0.3,62,64,111,0.6271479235201738,0.6116022994845328,0.5993343613634126,0.5472571257771199,0.6975738600061483,0.020334400000137975
competition,1,elastic_a0p003_l1_0p5,0.003,0.5,62,64,111,0.6278386093523463,0.6123217826413041,0.6000765701306463,0.5469002446309331,0.6969274539008141,0.01718270000128541
competition,1,elastic_a0p003_l1_0p7,0.003,0.7,62,64,111,0.6284467340898248,0.612955262416697,0.6007300590118481,0.5465154348058221,0.6963578191792981,0.011264499997196253
competition,1,elastic_a0p003_l1_0p9,0.003,0.9,62,64,111,0.6287872663156662,0.6133099927288275,0.6010959938432461,0.5462122642912308,0.6960386366308742,0.009481300003244542
competition,1,elastic_a0p01_l1_0p1,0.01,0.1,62,64,111,0.6278431186426925,0.6123264799411501,0.6000814157995062,0.5470056202720478,0.6969232317302203,0.01490639999974519
competition,1,elastic_a0p01_l1_0p3,0.01,0.3,62,64,111,0.6292860396588666,0.6138295618335686,0.6016319740689031,0.5458298156405291,0.6955708695254256,0.011341399997036206
competition,1,elastic_a0p01_l1_0p5,0.01,0.5,62,64,111,0.6302323215507504,0.6148152978238761,0.6026488455373991,0.5450021375998133,0.6946825475860686,0.009444700001040474
competition,1,elastic_a0p01_l1_0p7,0.01,0.7,62,64,111,0.6306511229701843,0.61525156067057,0.6030988881917505,0.5446555281915919,0.6942890350116824,0.008140100002492545
competition,1,elastic_a0p01_l1_0p9,0.01,0.9,62,64,111,0.6308121382855065,0.6154192893280293,0.6032719147301915,0.5445466780063678,0.6941376830499322,0.008798599999863654
competition,1,elastic_a0p03_l1_0p1,0.03,0.1,62,64,111,0.6274328151691824,0.611899069352132,0.5996405050104319,0.5478440365422438,0.6973073053096874,0.012969100000191247
competition,1,elastic_a0p03_l1_0p3,0.03,0.3,62,64,111,0.6283658674818223,0.6128710241716182,0.6006431600157486,0.5464854099325196,0.6964335943591782,0.00849469999957364
competition,1,elastic_a0p03_l1_0p5,0.03,0.5,62,64,111,0.6284844317014815,0.612994531785452,0.600770568743729,0.5461831762486556,0.6963224922222532,0.008599199998570839
competition,1,elastic_a0p03_l1_0p7,0.03,0.7,62,64,111,0.6282623617364308,0.6127632028772332,0.6005319330756403,0.5462483288286929,0.6965305712694086,0.008480099997541402
competition,1,elastic_a0p03_l1_0p9,0.03,0.9,62,64,111,0.627809165707157,0.6122911113783349,0.6000449300845054,0.5464325826694862,0.6969550221539216,0.00985459999719751
competition,2,elastic_a0p0001_l1_0p1,0.0001,0.1,62,64,111,0.6106900087235195,0.5944581914976597,0.5816487392129757,0.5640923936338653,0.7088397501947774,0.2815413000025728
competition,2,elastic_a0p0001_l1_0p3,0.0001,0.3,62,64,111,0.6107008842636721,0.5944695204805288,0.5816604260333411,0.56406355310687,0.7088298492557096,0.17503080000096816
